Course Number,Course Title,,,,ABG,AGS,AMG,EEO,HP,IX,MAT,MDR,NTHS,program,OPS,PAM,PTK,PRS,PTE,PB,SALUTE,SCE,SKD
ART A244,Metal Casting and Forming,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A245,Exhibition Design 2,,,,,X,,,,,,,X,9.3,,,X,,X,,X,,
ART A247,Jewelry 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A249,Digital Sculpture with ZBrush,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A251,Character Design,,,,,X,,,,,,,X,11.2,,,X,,X,,X,,
ART A252,Prop and Vehicle Design,,,,X,X,,,,,,,,,,,X,,X,,X,,
ART A253,Environment Dsgn& Illustration,,,,X,X,,,,,,,X,1.2,,,X,,X,,X,,
ART A255,Entertainment Art Project,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A263,Watercolor 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A269,Cartooning 1,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A270,Cartooning 2,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A286,Book Arts,,,,,X,,,,,,,,,,,X,,X,,X,,
ART A291,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ART A292,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ART A293,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ART A294,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ART A295,Dir Study,,,,,X,,,,,,,,,,,X,,,,X,,
ASTR A100,Introduction to Astronomy,,,,,X,,,,,,,,,,,X,,,,X,,
